Pincode,Region_ID,Status,Message,MOQ,MOQ_Charges,Free_Shipping,Free_Shipping_amount,COD,COD_Charges,Farm_pick_up,Farm_pick_up_delivery_charges,Same_day_delivery_till_2pm,Same_day_delivery_till_2pm_charges,Next_day_delivery_Standard_9am_9pm,Next_day_delivery_Standard_9am_9pm_charges,Next_day_delivery_8am_2pm,Next_day_delivery_8am_2pm_charges,Next_day_delivery_2pm_8pm,Next_day_delivery_2pm_8pm_charges,Standard_delivery,Standard_delivery_charges
110073,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
121008,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
110097,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
121013,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
110071,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110070,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,yes,50,yes,50,no,50,no,50,yes,50
121004,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
110031,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110078,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
201306,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
122010,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122005,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
121005,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
121010,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
110048,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
248179,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
313001,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
700016,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110052,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
700020,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
203207,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,95,no,0,yes,0,no,95,yes,95,no,95,no,95,yes,95
440010,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
560102,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
110020,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
403507,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
403509,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
244715,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
403511,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
403509,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122505,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
122052,63a3eeea317b2b2f634e63dd,active,,yes,800,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
403509,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
403509,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
403509,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
403516,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
403511,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
403516,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
403507,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
500034,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
700029,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
403509,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
403516,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
313024,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
560034,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
313001,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
400088,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
700029,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
700029,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
700029,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
500034,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
226020,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
452016,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
342001,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
834217,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
160009,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
208001,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208002,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
180021,63a3eeea317b2b2f634e63dd,active,,yes,1000,no,50,no,0,yes,0,no,50,yes,50,no,50,no,50,yes,50
208003,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208005,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208006,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208007,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208009,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208008,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208010,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208004,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208011,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208012,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208013,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208014,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208016,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208017,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
208015,62b17a867ebc153a4ebcdb5a,active,,yes,800,no,50,no,0,no,0,no,0,no,0,no,50,no,50,yes,50
